CDRDATE,SERVICE_KEY,IS_ROAMING,ISBFT,DIAMETER,TOTAL,REMARK
2023-11-06 19,300,1,0,4010,1,day0
2023-11-06 19,300,1,0,4012,12984,day0
2023-11-06 19,300,0,0,5004,17486,day0
2023-11-06 19,300,1,0,5031,4,day0
2023-11-06 19,400,1,0,2001,1,day0
2023-11-06 20,100,0,0,2001,78523,day0
2023-11-06 20,100,1,0,2001,5,day0
2023-11-06 20,100,0,0,4010,964,day0
2023-11-06 20,100,0,0,4012,36471,day0
2023-11-06 20,100,1,0,4012,49,day0
2023-11-06 20,100,0,0,5030,2,day0
2023-11-06 20,100,1,0,5030,1,day0
2023-11-06 20,100,0,0,5031,2617,day0
2023-11-06 20,100,1,0,5031,11,day0
2023-11-06 20,100,0,0,,2921,day0
2023-11-06 20,100,1,0,,3,day0
2023-11-06 20,133,0,0,,254,day0
2023-11-06 20,150,0,0,2001,2,day0
2023-11-06 20,150,0,0,4010,18,day0
2023-11-06 20,150,0,0,4012,1,day0
2023-11-06 20,150,0,0,5030,134,day0
2023-11-06 20,150,0,0,5031,1,day0
2023-11-06 20,150,0,0,,15,day0
2023-11-06 20,200,0,0,2001,124,day0
2023-11-06 20,300,1,0,2001,54,day0
2023-11-06 20,300,1,0,4012,2242,day0
2023-11-06 20,300,0,0,5004,1083,day0
2023-11-05 00,100,0,0,2001,36181,day1
2023-11-05 00,100,1,0,2001,8,day1
2023-11-05 00,100,0,0,4010,740,day1
2023-11-05 00,100,0,0,4012,19300,day1
2023-11-05 00,100,1,0,4012,37,day1
2023-11-05 00,100,0,0,5031,3226,day1
2023-11-05 00,100,1,0,5031,8,day1
2023-11-05 00,100,0,0,,1098,day1
2023-11-05 00,100,1,0,,3,day1
2023-11-05 00,133,0,0,,59,day1
2023-11-05 00,150,0,0,4010,3,day1
2023-11-05 00,150,0,0,5030,48,day1
2023-11-05 00,150,0,0,5031,1,day1
2023-11-05 00,150,0,0,,7,day1
2023-11-05 00,200,0,0,2001,26,day1
2023-11-05 00,200,0,0,5031,2,day1
2023-11-05 00,300,1,0,2001,13,day1
2023-11-05 00,300,1,0,4012,70,day1
2023-11-05 00,300,0,0,5004,111,day1
2023-11-05 00,300,1,0,5031,1,day1
2023-11-05 01,100,0,0,2001,23892,day1
2023-11-05 01,100,1,0,2001,20,day1
2023-11-05 01,100,0,0,4010,537,day1
2023-11-05 01,100,0,0,4012,11752,day1
2023-11-05 01,100,1,0,4012,33,day1
2023-11-05 01,100,0,1,5005,1,day1
2023-11-05 01,100,0,0,5031,971,day1
2023-11-05 01,100,1,0,5031,12,day1
2023-11-05 01,100,0,0,,678,day1
2023-11-05 01,100,1,0,,1,day1
2023-11-05 01,133,0,0,,30,day1
2023-11-05 01,150,0,0,4010,1,day1
2023-11-05 01,150,0,0,5030,29,day1
2023-11-05 01,150,1,0,5031,1,day1
2023-11-05 01,150,0,0,,1,day1
2023-11-05 01,200,0,0,2001,19,day1
2023-11-05 01,200,0,0,5031,1,day1
2023-11-05 01,300,1,0,2001,7,day1
2023-11-05 01,300,1,0,4012,91,day1
2023-11-05 01,300,0,0,5004,109,day1
2023-11-05 01,300,1,0,5031,2,day1
2023-11-05 02,100,0,0,2001,16861,day1
2023-11-05 02,100,0,0,4010,447,day1
2023-11-05 02,100,0,0,4012,7551,day1
2023-11-05 02,100,1,0,4012,8,day1
2023-11-05 02,100,0,0,5031,594,day1
2023-11-05 02,100,1,0,5031,2,day1
2023-11-05 02,100,0,0,,538,day1
2023-11-05 02,100,1,0,,2,day1
2023-11-05 02,133,0,0,,33,day1
2023-11-05 02,150,0,0,4010,1,day1
2023-11-05 02,150,0,0,5030,7,day1
2023-11-05 02,150,0,0,5031,1,day1
2023-11-05 02,150,0,0,,1,day1
2023-11-05 02,200,0,0,2001,24,day1
2023-11-05 02,200,0,0,4012,2,day1
2023-11-05 02,200,0,0,5031,3,day1
2023-11-05 02,300,1,0,2001,10,day1
2023-11-05 02,300,1,0,4012,72,day1
2023-11-05 02,300,0,0,5004,76,day1
2023-11-05 03,100,0,0,2001,14357,day1
2023-11-05 03,100,1,0,2001,1,day1
2023-11-05 03,100,0,0,4010,435,day1
2023-11-05 03,100,1,0,4010,1,day1
2023-11-05 03,100,0,0,4012,6526,day1
2023-11-05 03,100,1,0,4012,11,day1
2023-11-05 03,100,0,0,5031,639,day1
2023-11-05 03,100,1,0,5031,13,day1
2023-11-05 03,100,0,0,,417,day1
2023-11-05 03,100,1,0,,5,day1
2023-11-05 03,133,0,0,,12,day1
2023-11-05 03,150,0,0,4010,1,day1
2023-11-05 03,150,0,0,5030,8,day1
2023-11-05 03,150,0,0,,1,day1
2023-11-05 03,200,0,0,2001,18,day1
2023-11-05 03,300,1,0,2001,5,day1
2023-11-05 03,300,1,0,4012,115,day1
2023-11-05 03,300,0,0,5004,56,day1
2023-11-05 04,100,0,0,2001,20672,day1
2023-11-05 04,100,1,0,2001,5,day1
2023-11-05 04,100,0,0,4010,544,day1
2023-11-05 04,100,0,0,4012,9642,day1
2023-11-05 04,100,1,0,4012,12,day1
2023-11-05 04,100,0,1,5005,1,day1
2023-11-05 04,100,0,0,5031,808,day1
2023-11-05 04,100,1,0,5031,13,day1
2023-11-05 04,100,0,0,,601,day1
2023-11-05 04,100,1,0,,6,day1
2023-11-05 04,133,0,0,,11,day1
2023-11-05 04,150,0,0,4010,7,day1
2023-11-05 04,150,0,0,5030,9,day1
2023-11-05 04,150,1,0,,1,day1
2023-11-05 04,200,0,0,2001,22,day1
2023-11-05 04,200,0,0,5031,1,day1
2023-11-05 04,300,1,0,2001,1,day1
2023-11-05 04,300,1,0,4012,33,day1
2023-11-05 04,300,0,0,5004,10,day1
2023-11-05 04,300,1,0,5031,6,day1
2023-11-05 05,100,0,0,2001,39557,day1
2023-11-05 05,100,1,0,2001,3,day1
2023-11-05 05,100,0,0,4010,694,day1
2023-11-05 05,100,0,0,4012,17322,day1
2023-11-05 05,100,1,0,4012,21,day1
2023-11-05 05,100,0,0,5031,998,day1
2023-11-05 05,100,1,0,5031,15,day1
2023-11-05 05,100,0,0,,1080,day1
2023-11-05 05,100,1,0,,2,day1
2023-11-05 05,133,0,0,,43,day1
2023-11-05 05,150,0,0,4010,1,day1
2023-11-05 05,150,0,0,5030,30,day1
2023-11-05 05,150,1,0,,1,day1
