CDRDATE,SERVICE_KEY,DIAMETER,TOTAL
21-10-2023 13:40,100,4012.0,607
21-10-2023 13:40,100,4012.0,200
21-10-2023 13:40,100,5031.0,15
21-10-2023 13:40,100,5031.0,38
21-10-2023 13:40,100,,15
21-10-2023 13:40,100,,39
21-10-2023 13:40,133,,4
21-10-2023 13:40,150,4010.0,1
21-10-2023 13:40,200,2001.0,9
21-10-2023 13:40,200,2001.0,3
21-10-2023 13:40,300,4012.0,15
21-10-2023 13:40,300,4012.0,14
21-10-2023 13:40,300,5004.0,16
21-10-2023 13:40,300,5004.0,12
21-10-2023 13:41,100,2001.0,443
21-10-2023 13:41,100,2001.0,1227
21-10-2023 13:41,100,4010.0,1
21-10-2023 13:41,100,4010.0,5
21-10-2023 13:41,100,4012.0,594
21-10-2023 13:41,100,4012.0,217
21-10-2023 13:41,100,5031.0,10
21-10-2023 13:41,100,5031.0,33
21-10-2023 13:41,100,,14
21-10-2023 13:41,100,,39
21-10-2023 13:41,133,,5
21-10-2023 13:41,150,5030.0,1
21-10-2023 13:41,150,5030.0,5
21-10-2023 13:41,200,2001.0,3
21-10-2023 13:41,200,2001.0,9
21-10-2023 13:41,300,4012.0,15
21-10-2023 13:41,300,4012.0,9
21-10-2023 13:41,300,5004.0,9
21-10-2023 13:41,300,5004.0,2
21-10-2023 13:42,100,2001.0,405
21-10-2023 13:42,100,2001.0,1285
21-10-2023 13:42,100,4010.0,7
21-10-2023 13:42,100,4010.0,1
21-10-2023 13:42,100,4012.0,215
21-10-2023 13:42,100,4012.0,587
21-10-2023 13:42,100,5031.0,16
21-10-2023 13:42,100,5031.0,32
21-10-2023 13:42,100,,19
21-10-2023 13:42,100,,48
21-10-2023 13:42,133,,4
21-10-2023 13:42,150,5030.0,1
21-10-2023 13:42,200,2001.0,5
21-10-2023 13:42,200,5031.0,1
21-10-2023 13:42,300,2001.0,3
21-10-2023 13:42,300,4012.0,13
21-10-2023 13:42,300,4012.0,5
21-10-2023 13:42,300,5004.0,4
21-10-2023 13:42,300,5004.0,1
21-10-2023 13:42,300,5031.0,1
21-10-2023 15:55,100,2001.0,1359
21-10-2023 15:55,100,2001.0,463
21-10-2023 15:55,100,4010.0,4
21-10-2023 15:55,100,4010.0,8
21-10-2023 15:55,100,4012.0,588
21-10-2023 15:55,100,4012.0,201
21-10-2023 15:55,100,5031.0,46
21-10-2023 15:55,100,5031.0,17
21-10-2023 15:55,100,,43
21-10-2023 15:55,100,,17
21-10-2023 15:55,133,,2
21-10-2023 15:55,150,5030.0,1
21-10-2023 15:55,200,2001.0,3
21-10-2023 15:55,200,2001.0,5
21-10-2023 15:55,300,2001.0,1
21-10-2023 15:55,300,2001.0,1
21-10-2023 15:55,300,4012.0,2
21-10-2023 15:55,300,4012.0,20
21-10-2023 15:55,300,5004.0,2
21-10-2023 15:55,300,5004.0,6
21-10-2023 15:56,100,2001.0,437
21-10-2023 15:56,100,2001.0,1380
21-10-2023 15:56,100,4010.0,8
21-10-2023 15:56,100,4010.0,5
21-10-2023 15:56,100,4012.0,613
21-10-2023 15:56,100,4012.0,205
21-10-2023 15:56,100,5031.0,57
21-10-2023 15:56,100,5031.0,16
21-10-2023 15:56,100,,19
21-10-2023 15:56,100,,36
21-10-2023 15:56,133,,5
21-10-2023 15:56,200,2001.0,2
21-10-2023 15:56,200,2001.0,2
21-10-2023 15:56,200,5031.0,1
21-10-2023 15:56,300,2001.0,1
21-10-2023 15:56,300,2001.0,3
21-10-2023 15:56,300,4012.0,12
21-10-2023 15:56,300,4012.0,4
21-10-2023 15:56,300,5004.0,4
21-10-2023 15:56,300,5004.0,15
21-10-2023 15:57,100,2001.0,1409
21-10-2023 15:57,100,2001.0,453
21-10-2023 15:57,100,4010.0,5
21-10-2023 15:57,100,4010.0,11
21-10-2023 15:57,100,4012.0,632
21-10-2023 15:57,100,4012.0,216
21-10-2023 15:57,100,5031.0,33
21-10-2023 15:57,100,5031.0,12
21-10-2023 15:57,100,,45
21-10-2023 15:57,100,,12
21-10-2023 15:57,133,,10
21-10-2023 15:57,150,4010.0,1
21-10-2023 15:57,150,5030.0,2
21-10-2023 15:57,200,2001.0,1
21-10-2023 15:57,200,2001.0,4
21-10-2023 15:57,200,5031.0,1
21-10-2023 15:57,300,2001.0,1
21-10-2023 15:57,300,4012.0,5
21-10-2023 15:57,300,4012.0,2
21-10-2023 15:57,300,5004.0,1
21-10-2023 15:57,300,5004.0,12
21-10-2023 15:57,300,5031.0,1
21-10-2023 15:58,100,2001.0,483
21-10-2023 15:58,100,2001.0,1407
21-10-2023 15:58,100,4010.0,5
21-10-2023 15:58,100,4012.0,226
21-10-2023 15:58,100,4012.0,643
21-10-2023 15:58,100,5031.0,20
21-10-2023 15:58,100,5031.0,40
21-10-2023 15:58,100,,47
21-10-2023 15:58,100,,18
21-10-2023 15:58,133,,1
21-10-2023 15:58,150,,1
21-10-2023 15:58,200,2001.0,4
21-10-2023 15:58,200,2001.0,3
21-10-2023 15:58,200,5031.0,1
21-10-2023 15:58,300,2001.0,1
